Timestamp,CAN_ID,DLC,Data_Hex,RPM,Speed
1788099062.2601883,0x120,4,0a5a0300,2650,3
1788099062.3604572,0x120,4,0a8c0400,2700,4
1788099062.4610288,0x120,4,0abe0500,2750,5
1788099062.5611615,0x120,4,0af00600,2800,6
1788099062.661437,0x120,4,0b220700,2850,7
1788099062.7626705,0x120,4,0b540800,2900,8
1788099062.8629375,0x120,4,0b860900,2950,9
1788099062.964871,0x120,4,0bb80a00,3000,10
1788099063.0642905,0x120,4,0bea0b00,3050,11
1788099063.164826,0x120,4,0c1c0c00,3100,12
1788099063.2653022,0x120,4,0c4e0d00,3150,13
1788099063.3659072,0x120,4,0c800e00,3200,14
1788099063.4666312,0x120,4,0cb20f00,3250,15
1788099063.5682347,0x120,4,0ce41000,3300,16
1788099063.6689003,0x120,4,0d161100,3350,17
1788099063.7726715,0x120,4,0d481200,3400,18
1788099063.873634,0x120,4,0d7a1300,3450,19
1788099063.976299,0x120,4,0dac1400,3500,20
1788099064.079887,0x120,4,0dde1500,3550,21
1788099064.1805644,0x120,4,0e101600,3600,22
1788099064.281231,0x120,4,0e421700,3650,23
1788099064.3818614,0x120,4,0e741800,3700,24
1788099064.4824717,0x120,4,0ea61900,3750,25
1788099064.5825055,0x120,4,0ed81a00,3800,26
1788099064.6829574,0x120,4,0f0a1b00,3850,27
1788099064.7839527,0x120,4,0f3c1c00,3900,28
1788099064.884159,0x120,4,0f6e1d00,3950,29
1788099064.9846709,0x120,4,0fa01e00,4000,30
1788099065.0852234,0x120,4,0fd21f00,4050,31
1788099065.1859736,0x120,4,10042000,4100,32
1788099065.2864795,0x120,4,10362100,4150,33
1788099065.387157,0x120,4,10682200,4200,34
1788099065.4877968,0x120,4,109a2300,4250,35
1788099065.5883894,0x120,4,10cc2400,4300,36
1788099065.6913607,0x120,4,10fe2500,4350,37
1788099065.791833,0x120,4,11302600,4400,38
1788099065.892131,0x120,4,11622700,4450,39
1788099065.9925158,0x120,4,11942800,4500,40
1788099066.0929008,0x120,4,03202900,800,41
1788099066.1930542,0x120,4,03522a00,850,42
1788099066.2931318,0x120,4,03842b00,900,43
1788099066.3937669,0x120,4,03b62c00,950,44
1788099066.4942794,0x120,4,03e82d00,1000,45
1788099066.594893,0x120,4,041a2e00,1050,46
1788099066.6959054,0x120,4,044c2f00,1100,47
1788099066.7961888,0x120,4,047e3000,1150,48
1788099066.8967962,0x120,4,04b03100,1200,49
1788099066.9969149,0x120,4,04e23200,1250,50
1788099067.0973148,0x120,4,05143300,1300,51
1788099067.1975508,0x120,4,05463400,1350,52
1788099067.2978532,0x120,4,05783500,1400,53
1788099067.3979897,0x120,4,05aa3600,1450,54
1788099067.49859,0x120,4,05dc3700,1500,55
1788099067.5993483,0x120,4,060e3800,1550,56
1788099067.6996906,0x120,4,06403900,1600,57
1788099067.8001115,0x120,4,06723a00,1650,58
1788099067.90027,0x120,4,06a43b00,1700,59
1788099068.0005682,0x120,4,06d63c00,1750,60
1788099068.101662,0x120,4,07083d00,1800,61
1788099068.2022026,0x120,4,073a3e00,1850,62
1788099068.303943,0x120,4,076c3f00,1900,63
1788099068.4046533,0x120,4,079e4000,1950,64
1788099068.5048926,0x120,4,07d04100,2000,65
1788099068.6052866,0x120,4,08024200,2050,66
1788099068.7059577,0x120,4,08344300,2100,67
1788099068.806699,0x120,4,08664400,2150,68
1788099068.908062,0x120,4,08984500,2200,69
1788099069.008443,0x120,4,08ca4600,2250,70
1788099069.1089377,0x120,4,08fc4700,2300,71
1788099069.2090638,0x120,4,092e4800,2350,72
1788099069.3100128,0x120,4,09604900,2400,73
1788099069.410103,0x120,4,09924a00,2450,74
1788099069.5104542,0x120,4,09c44b00,2500,75
1788099069.6112072,0x120,4,09f64c00,2550,76
1788099069.714494,0x120,4,0a284d00,2600,77
1788099069.81509,0x120,4,0a5a4e00,2650,78
1788099069.915194,0x120,4,0a8c4f00,2700,79
1788099070.0164287,0x120,4,0abe5000,2750,80
1788099070.116607,0x120,4,0af05100,2800,81
1788099070.2206955,0x120,4,0b225200,2850,82
1788099070.3209167,0x120,4,0b545300,2900,83
1788099070.421154,0x120,4,0b865400,2950,84
1788099070.5217402,0x120,4,0bb85500,3000,85
1788099070.6222568,0x120,4,0bea5600,3050,86
1788099070.7224083,0x120,4,0c1c5700,3100,87
1788099070.822695,0x120,4,0c4e5800,3150,88
1788099070.9232335,0x120,4,0c805900,3200,89
1788099071.0239298,0x120,4,0cb25a00,3250,90
1788099071.1241443,0x120,4,0ce45b00,3300,91
1788099071.2247045,0x120,4,0d165c00,3350,92
1788099071.3251863,0x120,4,0d485d00,3400,93
1788099071.425441,0x120,4,0d7a5e00,3450,94
1788099071.525862,0x120,4,0dac5f00,3500,95
1788099071.6282265,0x120,4,0dde6000,3550,96
1788099071.7286928,0x120,4,0e106100,3600,97
1788099071.82922,0x120,4,0e426200,3650,98
1788099071.9307075,0x120,4,0e746300,3700,99
1788099072.0309675,0x120,4,0ea66400,3750,100
1788099072.13115,0x120,4,0ed86500,3800,101
1788099072.2318053,0x120,4,0f0a6600,3850,102
1788099072.332704,0x120,4,0f3c6700,3900,103
1788099072.4333017,0x120,4,0f6e6800,3950,104
1788099072.5339897,0x120,4,0fa06900,4000,105
1788099072.6343362,0x120,4,0fd26a00,4050,106
1788099072.734962,0x120,4,10046b00,4100,107
1788099072.8358495,0x120,4,10366c00,4150,108
1788099072.9361243,0x120,4,10686d00,4200,109
1788099073.0368748,0x120,4,109a6e00,4250,110
1788099073.137067,0x120,4,10cc6f00,4300,111
1788099073.2380586,0x120,4,10fe7000,4350,112
1788099073.338648,0x120,4,11307100,4400,113
1788099073.438884,0x120,4,11627200,4450,114
1788099073.5390956,0x120,4,11947300,4500,115
1788099073.6400836,0x120,4,03207400,800,116
1788099073.7403598,0x120,4,03527500,850,117
1788099073.841199,0x120,4,03847600,900,118
1788099073.941836,0x120,4,03b67700,950,119
1788099074.0438776,0x120,4,03e87800,1000,120
1788099074.1444206,0x120,4,041a0000,1050,0
1788099074.245336,0x120,4,044c0100,1100,1
1788099074.345799,0x120,4,047e0200,1150,2
1788099074.4459279,0x120,4,04b00300,1200,3
1788099074.546763,0x120,4,04e20400,1250,4
1788099074.6498454,0x120,4,05140500,1300,5
1788099074.7499948,0x120,4,05460600,1350,6
1788099074.8500938,0x120,4,05780700,1400,7
1788099074.9503584,0x120,4,05aa0800,1450,8
1788099075.0509052,0x120,4,05dc0900,1500,9
1788099075.151235,0x120,4,060e0a00,1550,10
1788099075.251273,0x120,4,06400b00,1600,11
1788099075.3518066,0x120,4,06720c00,1650,12
1788099075.452511,0x120,4,06a40d00,1700,13
1788099075.5533173,0x120,4,06d60e00,1750,14
1788099075.6534762,0x120,4,07080f00,1800,15
1788099075.753811,0x120,4,073a1000,1850,16
1788099075.8543472,0x120,4,076c1100,1900,17
1788099075.9543664,0x120,4,079e1200,1950,18
1788099076.054553,0x120,4,07d01300,2000,19
1788099076.155065,0x120,4,08021400,2050,20
1788099076.2553215,0x120,4,08341500,2100,21
1788099076.3560255,0x120,4,08661600,2150,22
1788099076.4567053,0x120,4,08981700,2200,23
1788099076.556812,0x120,4,08ca1800,2250,24
1788099076.6570272,0x120,4,08fc1900,2300,25
1788099076.757316,0x120,4,092e1a00,2350,26
1788099076.8579805,0x120,4,09601b00,2400,27
1788099076.9582818,0x120,4,09921c00,2450,28
1788099077.058817,0x120,4,09c41d00,2500,29
1788099077.1589947,0x120,4,09f61e00,2550,30
1788099077.259337,0x120,4,0a281f00,2600,31
1788099077.3596284,0x120,4,0a5a2000,2650,32
1788099077.4600523,0x120,4,0a8c2100,2700,33
1788099077.5603523,0x120,4,0abe2200,2750,34
1788099077.6605294,0x120,4,0af02300,2800,35
1788099077.76074,0x120,4,0b222400,2850,36
1788099077.8615773,0x120,4,0b542500,2900,37
1788099077.9617546,0x120,4,0b862600,2950,38
1788099078.063246,0x120,4,0bb82700,3000,39
1788099078.1636474,0x120,4,0bea2800,3050,40
1788099078.2647274,0x120,4,0c1c2900,3100,41
1788099078.3684247,0x120,4,0c4e2a00,3150,42
