Timestamp,Arbitration_ID,DLC,Data
1788182040.9039667,0x120,4,10 04 5f 00
1788182041.0044887,0x120,4,10 36 60 00
1788182041.104719,0x120,4,10 68 61 00
1788182041.2050273,0x120,4,10 9a 62 00
1788182041.3085794,0x120,4,10 cc 63 00
1788182041.4090676,0x120,4,10 fe 64 00
1788182041.509467,0x120,4,11 30 65 00
1788182041.609935,0x120,4,11 62 66 00
1788182041.7102513,0x120,4,11 94 67 00
1788182041.810399,0x120,4,03 20 68 00
1788182041.9105303,0x120,4,03 52 69 00
1788182042.0108626,0x120,4,03 84 6a 00
1788182042.1115937,0x120,4,03 b6 6b 00
1788182042.211948,0x120,4,03 e8 6c 00
1788182042.3122296,0x120,4,04 1a 6d 00
1788182042.4123747,0x120,4,04 4c 6e 00
1788182042.5126247,0x120,4,04 7e 6f 00
1788182042.6130133,0x120,4,04 b0 70 00
1788182042.7289577,0x120,4,04 e2 71 00
1788182042.8293796,0x120,4,05 14 72 00
1788182042.9296267,0x120,4,05 46 73 00
1788182043.0300047,0x120,4,05 78 74 00
1788182043.1306112,0x120,4,05 aa 75 00
1788182043.2308402,0x120,4,05 dc 76 00
1788182043.3315663,0x120,4,06 0e 77 00
1788182043.4320667,0x120,4,06 40 78 00
1788182043.5347633,0x120,4,06 72 00 00
1788182043.6353085,0x120,4,06 a4 01 00
1788182043.7355292,0x120,4,06 d6 02 00
1788182043.8370051,0x120,4,07 08 03 00
1788182043.9373205,0x120,4,07 3a 04 00
1788182044.0377636,0x120,4,07 6c 05 00
1788182044.1384404,0x120,4,07 9e 06 00
1788182044.2388635,0x120,4,07 d0 07 00
1788182044.3390934,0x120,4,08 02 08 00
1788182044.4393556,0x120,4,08 34 09 00
1788182044.5418868,0x120,4,08 66 0a 00
1788182044.642047,0x120,4,08 98 0b 00
1788182044.74227,0x120,4,08 ca 0c 00
1788182044.8423884,0x120,4,08 fc 0d 00
1788182044.942987,0x120,4,09 2e 0e 00
1788182045.0453942,0x120,4,09 60 0f 00
1788182045.1459491,0x120,4,09 92 10 00
1788182045.246253,0x120,4,09 c4 11 00
1788182045.357164,0x120,4,09 f6 12 00
1788182045.4578924,0x120,4,0a 28 13 00
1788182045.5581691,0x120,4,0a 5a 14 00
1788182045.6584985,0x120,4,0a 8c 15 00
1788182045.7587197,0x120,4,0a be 16 00
1788182045.8590045,0x120,4,0a f0 17 00
1788182045.9594452,0x120,4,0b 22 18 00
1788182046.060147,0x120,4,0b 54 19 00
1788182046.1603572,0x120,4,0b 86 1a 00
1788182046.2607756,0x120,4,0b b8 1b 00
1788182046.3631868,0x120,4,0b ea 1c 00
1788182046.4639082,0x120,4,0c 1c 1d 00
1788182046.564824,0x120,4,0c 4e 1e 00
1788182046.6653483,0x120,4,0c 80 1f 00
1788182046.7662494,0x120,4,0c b2 20 00
1788182046.866721,0x120,4,0c e4 21 00
1788182046.96871,0x120,4,0d 16 22 00
1788182047.072117,0x120,4,0d 48 23 00
1788182047.172295,0x120,4,0d 7a 24 00
1788182047.2728183,0x120,4,0d ac 25 00
1788182047.374663,0x120,4,0d de 26 00
1788182047.4763327,0x120,4,0e 10 27 00
1788182047.576554,0x120,4,0e 42 28 00
1788182047.6771266,0x120,4,0e 74 29 00
1788182047.7800806,0x120,4,0e a6 2a 00
1788182047.880254,0x120,4,0e d8 2b 00
1788182047.9807916,0x120,4,0f 0a 2c 00
1788182048.0817327,0x120,4,0f 3c 2d 00
1788182048.1820254,0x120,4,0f 6e 2e 00
1788182048.2822301,0x120,4,0f a0 2f 00
1788182048.3826275,0x120,4,0f d2 30 00
1788182048.4829426,0x120,4,10 04 31 00
1788182048.5833216,0x120,4,10 36 32 00
1788182048.6835952,0x120,4,10 68 33 00
1788182048.7840087,0x120,4,10 9a 34 00
1788182048.8850322,0x120,4,10 cc 35 00
1788182048.9852178,0x120,4,10 fe 36 00
1788182049.0872612,0x120,4,11 30 37 00
1788182049.1878185,0x120,4,11 62 38 00
1788182049.2885776,0x120,4,11 94 39 00
1788182049.39007,0x120,4,03 20 3a 00
1788182049.4916694,0x120,4,03 52 3b 00
1788182049.5923576,0x120,4,03 84 3c 00
1788182049.693779,0x120,4,03 b6 3d 00
1788182049.7946835,0x120,4,03 e8 3e 00
1788182049.8953474,0x120,4,04 1a 3f 00
1788182049.996092,0x120,4,04 4c 40 00
1788182050.0963113,0x120,4,04 7e 41 00
1788182050.1965575,0x120,4,04 b0 42 00
1788182050.2968776,0x120,4,04 e2 43 00
1788182050.3975391,0x120,4,05 14 44 00
1788182050.5001318,0x120,4,05 46 45 00
1788182050.6004584,0x120,4,05 78 46 00
1788182050.7043314,0x120,4,05 aa 47 00
1788182050.8047826,0x120,4,05 dc 48 00
1788182050.9076939,0x120,4,06 0e 49 00
1788182051.0082884,0x120,4,06 40 4a 00
1788182051.1085265,0x120,4,06 72 4b 00
1788182051.2088115,0x120,4,06 a4 4c 00
1788182051.3089905,0x120,4,06 d6 4d 00
1788182051.4093385,0x120,4,07 08 4e 00
1788182051.509823,0x120,4,07 3a 4f 00
1788182051.6102335,0x120,4,07 6c 50 00
1788182051.710563,0x120,4,07 9e 51 00
1788182051.8112497,0x120,4,07 d0 52 00
1788182051.9120047,0x120,4,08 02 53 00
1788182052.0128458,0x120,4,08 34 54 00
1788182052.113458,0x120,4,08 66 55 00
1788182052.2137444,0x120,4,08 98 56 00
1788182052.314191,0x120,4,08 ca 57 00
1788182052.41483,0x120,4,08 fc 58 00
1788182052.5155854,0x120,4,09 2e 59 00
1788182052.6168706,0x120,4,09 60 5a 00
1788182052.7186468,0x120,4,09 92 5b 00
1788182052.8195095,0x120,4,09 c4 5c 00
1788182052.920147,0x120,4,09 f6 5d 00
1788182053.0206623,0x120,4,0a 28 5e 00
1788182053.1213675,0x120,4,0a 5a 5f 00
1788182053.2660708,0x120,4,0a 8c 60 00
1788182053.3957558,0x120,4,0a be 61 00
1788182053.5260446,0x120,4,0a f0 62 00
